[2016-04-21 12:44:42,783][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-21 12:44:42,783][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-21 12:44:42,783][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-21 12:44:42,784][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-21 13:08:39,121][INFO][luminus.repl-server] nREPL server stopped
[2016-04-21 13:08:39,130][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-21 13:08:39,147][INFO][luminus.http-server] HTTP server stopped
[2016-04-21 13:08:39,149][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-21 13:08:39,159][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-21 13:08:39,160][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-21 13:08:39,160][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-23 19:01:03,582][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-28 09:59:14,615][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-28 09:59:16,378][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-28 09:59:17,496][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-28 09:59:17,674][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-28 09:59:18,079][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-28 09:59:18,375][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-28 09:59:18,384][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-28 09:59:18,421][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-28 09:59:18,423][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-28 09:59:18,423][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-28 09:59:18,424][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-28 09:59:18,425][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-28 10:06:29,062][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-28 11:23:57,507][INFO][luminus.repl-server] nREPL server stopped
